Activity value,"Residential property price index, Armenia (%)","Index for Apartments, Armenia (%)","Index for Apartments,  Yerevan (%)","Index for Apartments,  Yerevan-Center (%)","Index for Apartments,  Yerevan-East (%)","Index for Apartments,  Yerevan-North (%)","Index for Apartments,  Yerevan-South (%)","Index for Apartments,  Yerevan-West (%)","Index for Apartments,  Outside Yerevan (%)","Index for Individual houses, Armenia (%)"
2018Q1,92.79,92.7,92.72,90.57,93.22,94.02,95.05,93.51,92.53,93.19
2018Q2,96.97,96.78,96.51,95.43,97.02,97.69,97.2,96.05,99.1,97.88
2018Q3,103.04,102.61,102.51,104.85,102.21,100.01,103.16,101.67,103.45,105.06
2018Q4,107.21,107.91,108.26,109.15,107.55,108.28,104.59,108.77,104.91,103.88
2019Q1,110.44,111.68,112.07,112.92,110.95,109.33,113.87,114.82,108.26,104.6
2019Q2,115.14,116.62,116.94,118.44,117.72,112.84,117.7,119.63,113.8,108.19
2019Q3,116.49,117.7,118.25,118.5,116.83,114.81,124.59,121.22,112.96,110.78
2019Q4,118.91,120.66,120.65,117.09,124.06,119.11,122.23,127.22,120.62,110.69
2020Q1,125.48,129.98,130.39,127.46,130.85,131.21,136.69,130.25,127.03,109.53
2020Q2,125.8,129.14,129.24,123.69,133.34,131.8,134.68,130.6,128.34,113.95
2020Q3,129.34,132.77,132.23,128.69,133.94,132.82,135.4,134.93,136.44,117.16
2020Q4,127.99,131.28,129.12,122.22,142.09,129.59,140.23,127.64,146.16,116.32
2021Q1,134.07,137.06,135.07,134.5,143.14,131.03,143.77,138.23,150.49,124.95
2021Q2,137.93,138.48,135.41,132.19,141.29,131.51,145.7,143.52,160.43,136.25
2021Q3,136.93,137.97,134.53,133.73,139.34,130.76,142.92,140.11,162.79,133.74
2021Q4,137.33,139.09,135.98,138.97,136.94,132.77,141.17,138.54,161.34,131.96
2022Q1,143.3,143.86,140.31,141.39,143.76,136.29,150.06,143.62,169.28,141.53
2022Q2,146.16,148.39,144.58,144.62,147.77,142.25,154.11,146.46,175.64,139.23
2022Q3,136.06,136.79,134.45,141.14,132.21,131.77,135.63,133.97,153.46,133.8
2022Q4,140.02,139.84,136.64,140.96,137.63,133.37,140.26,137.81,162.79,140.56
2023Q1,153.48,154.54,152.2,165.45,148.02,145.34,151.87,148.2,169.79,149.32
2023Q2,160.19,163.54,159.85,174.15,156.57,150.63,167.78,154.08,189.82,147.06
2023Q3,164.32,166.94,163.16,184.6,163.92,146.75,173.44,153.0,193.91,154.04
2023Q4,170.2,175.22,170.49,187.06,170.5,154.3,178.96,173.05,209.87,150.51
2024Q1,166.33,170.11,165.71,185.85,167.63,147.94,175.92,163.28,202.57,155.99
2024Q2,168.85,169.6,160.42,177.47,167.66,147.56,158.35,154.59,233.21,166.8
2024Q3,168.56,170.41,162.51,180.32,174.77,145.45,160.66,160.3,225.68,163.52
2024Q4,165.84,169.04,161.93,181.42,170.59,148.4,157.74,153.5,219.1,157.11
2025Q1,170.46,169.51,162.11,176.86,174.35,147.57,166.72,153.5,222.01,174.16
2025Q2,174.54,171.28,162.49,167.41,175.26,145.8,173.77,162.91,235.35,187.25
2025Q3,177.88,173.75,163.45,171.89,172.41,149.04,175.78,158.57,250.42,194.0
2025Q4,186.01,182.48,172.58,192.83,172.42,158.75,176.62,163.46,255.24,199.81
2026Q1,185.83,183.0,172.07,194.24,179.49,154.09,187.54,162.14,263.56,200.81
2026Q2,195.53,191.78,180.47,207.46,178.53,162.32,197.21,170.87,275.12,215.39
